Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 70.0.3538.102,,2018-11-19 16:13:40,2018-11-19 16:14:05,"25,755s",ERROR
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-19 16:13:40,2018-11-19 16:13:50,"10,274s",ERROR
openBrowser,Chrome 70.0.3538.102,,2018-11-19 16:13:41,2018-11-19 16:13:45,"4,684s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 16:13:45,2018-11-19 16:13:50,"4,650s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:13:50,2018-11-19 16:13:50,"0,408s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:13:50,2018-11-19 16:13:50,"0,005s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-19 16:13:50,2018-11-19 16:13:57,"6,981s",ERROR
openBrowser,Chrome 70.0.3538.102,,2018-11-19 16:13:51,2018-11-19 16:13:53,"2,619s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 16:13:53,2018-11-19 16:13:57,"4,011s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:13:57,2018-11-19 16:13:57,"0,329s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:13:57,2018-11-19 16:13:57,"0,005s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-19 16:13:57,2018-11-19 16:14:05,"7,267s",ERROR
openBrowser,Chrome 70.0.3538.102,,2018-11-19 16:13:57,2018-11-19 16:14:00,"2,645s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 16:14:00,2018-11-19 16:14:04,"4,364s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:14:04,2018-11-19 16:14:05,"0,239s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:14:05,2018-11-19 16:14:05,"0,004s",PASSED
